id	title	description	link	image_link	availability	price	condition	brand	identifier_exists	product_type
p36	Esfoliante Labial Active Repair	Esfoliante labial pré-procedimento, remove peles mortas e prepara os lábios pra hidratação.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p36	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1764699811692f2ea3dacb3.jpg	in stock	73.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
p39	Choker Fita Fina 3mm	Choker fita fina 3mm, discreta e elegante pra compor o look.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p39	https://dropi.xpto.app/dropi/fornecedor/produto-17848567006a62c07c2476e.jpg	in stock	112.90 BRL	new	Achadinhos Brasil	no	Joias e Acessórios
p40	Colar Pingente de Zircônia e Pérola	Colar com pingente de zircônia e pérola, toque clássico e sofisticado. Só 8 no estoque do fornecedor.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p40	https://dropi.xpto.app/dropi/fornecedor/produto-17858919806a728c8c54ba8.jpg	in stock	118.90 BRL	new	Achadinhos Brasil	no	Joias e Acessórios
p41	Anel Nossa Senhora Zircônia Azul	Anel Nossa Senhora com zircônia azul, semijoia delicada com apelo religioso — só 3 no estoque do fornecedor.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p41	https://dropi.xpto.app/dropi/fornecedor/produto-17848566676a62c05b76927.jpg	in stock	109.90 BRL	new	Achadinhos Brasil	no	Joias e Acessórios
p48	Kit 3 Brinquedos Educativos em Madeira e EVA	Kit com 3 brinquedos educativos em madeira e EVA, pedagógicos e lúdicos pro desenvolvimento infantil.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p48	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760821698baa757d1cb.jpg	in stock	107.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p53	Expositor de Joias Acrílico com 8 Cabides	Expositor de joias em acrílico com 8 cabides — organiza brincos e colares e ainda deixa a penteadeira bonita.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p53	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-177416400069bf9820aa5b7.jpg	in stock	39.90 BRL	new	Achadinhos Brasil	no	Casa e Decoração
p55	Caneca do Brasil - Hexa 2026	Caneca do Brasil Hexa 2026 — pra comemorar o hexacampeonato com estilo na hora do café.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p55	https://dropi.xpto.app/dropi/fornecedor/produto-17815699116a309977468bf.png	in stock	41.90 BRL	new	Achadinhos Brasil	no	Casa e Decoração
p73	Gel de Limpeza Clean Repair	Gel de limpeza facial Clean Repair — remove impurezas e prepara a pele pra hidratação.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p73	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-1764699858692f2ed2a5a88.jpg	in stock	94.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
p74	Esfoliante Facial Renovador com Aloe Vera e Microesferas 50g	Esfoliante facial renovador com aloe vera e microesferas, 50g — remove células mortas e deixa a pele mais lisa.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p74	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-1764699804692f2e9cea109.png	in stock	125.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
p76	Creme Clareador Facial Cystea Skin com Cisteamina e Retinol Nano 15g	Creme clareador facial Cystea Skin com cisteamina e retinol nano, 15g — auxilia na uniformização do tom da pele.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p76	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-1764699759692f2e6f0a77d.png	in stock	155.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
p77	Argila Preta Facial e Corporal 100g	Argila preta facial e corporal, 100g — limpeza profunda e efeito detox pra pele.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p77	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-16651764776340939d65ab2.jpg	in stock	12.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
p80	Creme Reparador Derma Repair com Ativos Calmantes 5g	Creme reparador Derma Repair com ativos calmantes, 5g — auxilia na recuperação da pele.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p80	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-1764699788692f2e8cefea4.jpg	in stock	78.90 BRL	new	Achadinhos Brasil	no	Saúde e Beleza
p90	Toalha Splash Pet	Toalha Splash Pet — seca o pet rapidinho depois do banho ou da chuva.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p90	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-177738520069f0bef06fa02.jpg	in stock	41.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p93	Mantinha Pet	Mantinha pet — aconchego extra pro pet nos dias mais frios.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p93	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-177738491769f0bdd52adce.jpg	in stock	33.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p95	Protetor de Sofá Pet Meg Impermeável Grande	Protetor de sofá pet Meg, impermeável, tamanho grande — protege o estofado do pelo e da sujeira.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p95	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-177738513869f0beb24c52f.jpg	in stock	87.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p96	Protetor Banco Dianteiro Padrão Impermeável	Protetor de banco dianteiro impermeável, padrão universal — leva o pet no carro sem sujar o banco.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p96	https://empreender.nyc3.cdn.digitaloceanspaces.com/dropi/fornecedor/produto-177738496069f0be00ea3f6.jpg	in stock	49.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p200	Coberdrom Pet Mark Dupla Face 03 pçs	Coberdrom Pet Mark Dupla Face 03 pçs. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p200	https://dropi.xpto.app/dropi/fornecedor/produto-17792781206a0da12827643.jpg	in stock	88.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p201	Protetor de Sofá Pet Snoopy	Protetor de Sofá Pet Snoopy. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p201	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177738520969f0bef9664e6.jpg	in stock	70.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p202	Peseira Pet Impermeável Para Cama Casal Padrão Avulsa	Peseira Pet Impermeável Para Cama Casal Padrão Avulsa. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p202	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177738486269f0bd9e41c03.jpg	in stock	82.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p203	Cama Pet Onix Impermeável	Cama Pet Onix Impermeável. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p203	https://dropi.xpto.app/dropi/fornecedor/produto-17875948446a8c885c8fba0.jpg	in stock	74.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p204	Bandana Pet Dereck	Bandana Pet Dereck. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p204	https://dropi.xpto.app/dropi/fornecedor/produto-17875842686a8c5f0cb2d36.jpg	in stock	5.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p205	Tapete Higiênico Impermeável Clean	Tapete Higiênico Impermeável Clean. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p205	https://dropi.xpto.app/dropi/fornecedor/produto-17875843276a8c5f473b224.jpg	in stock	35.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p206	Colchonete Pet Simples	Colchonete Pet Simples. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p206	https://dropi.xpto.app/dropi/fornecedor/produto-17875843536a8c5f61b030a.jpg	in stock	58.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p207	Colchonete Pet Quality Impermeável	Colchonete Pet Quality Impermeável. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p207	https://dropi.xpto.app/dropi/fornecedor/produto-17875948636a8c886f3e7de.jpg	in stock	70.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p209	Cama Pet Gorgopet Impermeável	Cama Pet Gorgopet Impermeável. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p209	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177738435669f0bba434c4d.jpg	in stock	72.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p210	Protetor Banco Traseiro Plus Impermeável	Protetor Banco Traseiro Plus Impermeável. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p210	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177738481069f0bd6a1f452.jpg	in stock	98.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p211	Colchonete Pet Toddy Impermeável	Colchonete Pet Toddy Impermeável. Disponível em várias opções de cor/modelo — a gente confirma a sua com você pelo WhatsApp assim que o pedido entra.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p211	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177738491069f0bdcebb646.jpg	in stock	47.90 BRL	new	Achadinhos Brasil	no	Pet Shop
p213	Triturador de Alho Manual Processador Picador Fatiador Legumes Moedor	Triturador de Alho Manual Processador Picador Fatiador Legumes Moedor.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p213	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1769797765697cf885b80da.jpg	in stock	29.90 BRL	new	Achadinhos Brasil	no	Utensílios
p214	Mini Processador Manual de Alimentos 2 laminas	Mini Processador Manual de Alimentos 2 laminas.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p214	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1769797763697cf8839c140.jpg	in stock	16.90 BRL	new	Achadinhos Brasil	no	Utensílios
p215	Batedor Elétrico á Pilha Cores Sortidas	Batedor Elétrico á Pilha Cores Sortidas.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p215	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177153492569977a4de6d05.webp	in stock	13.90 BRL	new	Achadinhos Brasil	no	Utensílios
p216	Bomba de agua	Bomba de agua.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p216	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1769797749697cf875eb8f0.jpg	in stock	17.90 BRL	new	Achadinhos Brasil	no	Utensílios
p218	Espátula de Silicone e Ferro 37X5,3cm Cores Sortidas	Espátula de Silicone e Ferro 37X5,3cm Cores Sortidas.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p218	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177153493169977a53495f5.jpg	in stock	17.90 BRL	new	Achadinhos Brasil	no	Utensílios
p219	Espátula de Silicone e Ferro 27,5x6cm Cores Sortidas	Espátula de Silicone e Ferro 27,5x6cm Cores Sortidas.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p219	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177153493169977a53495f5.webp	in stock	17.90 BRL	new	Achadinhos Brasil	no	Utensílios
p220	Pincel Confeiteiro de Silicone e Ferro 25,5x4,1cm Cores Sortidas	Pincel Confeiteiro de Silicone e Ferro 25,5x4,1cm Cores Sortidas.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p220	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177153494169977a5d789d8.webp	in stock	17.90 BRL	new	Achadinhos Brasil	no	Utensílios
p221	Ralador + Faca de Fruta Cores Sortidas	Ralador + Faca de Fruta Cores Sortidas.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p221	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177153494369977a5fb5c78.jpg	in stock	11.90 BRL	new	Achadinhos Brasil	no	Utensílios
p223	Esponja 11x7x3cm kit 2pçs	Esponja 11x7x3cm kit 2pçs.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p223	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177153493469977a56ea7de.webp	in stock	6.90 BRL	new	Achadinhos Brasil	no	Utensílios
p224	Forma de bolo de ferro 30cm	Forma de bolo de ferro 30cm.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p224	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1769797754697cf87a51096.jpg	in stock	23.90 BRL	new	Achadinhos Brasil	no	Utensílios
p225	Kit 3 Forma De Bolo Redonda Fundo Removível	Kit 3 Forma De Bolo Redonda Fundo Removível.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p225	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1769797761697cf88145203.png	in stock	51.90 BRL	new	Achadinhos Brasil	no	Utensílios
p226	Forma de bolo redonda 26 cm	Forma de bolo redonda 26 cm.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p226	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1769797756697cf87c5134f.jpg	in stock	19.90 BRL	new	Achadinhos Brasil	no	Utensílios
p227	Bomba de Agua elétrica	Bomba de Agua elétrica.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p227	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1769797752697cf87841875.jpg	in stock	35.90 BRL	new	Achadinhos Brasil	no	Utensílios
p232	Capa para Almofada 40x40cm Cores Sortidas	Capa para Almofada 40x40cm Cores Sortidas.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p232	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177262435769a819e527204.webp	in stock	23.90 BRL	new	Achadinhos Brasil	no	Casa e Decoração
p233	Mouse Gamer Evolut Eg-103rb Predator Rgb 2400 Dpi 06 Botoes	Mouse Gamer Evolut Eg-103rb Predator Rgb 2400 Dpi 06 Botoes.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p233	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-172355839566bb69fb53e93.jpg	in stock	42.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p234	Suporte p/ celular 11.5x10cm	Suporte p/ celular 11.5x10cm.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p234	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770729965698b31ed326f2.webp	in stock	16.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p235	Mouse Sem Fio Fantech W189 1200DPI	Mouse Sem Fio Fantech W189 1200DPI.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p235	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-172373532766be1d1f20621.jpg	in stock	104.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p236	Mouse Sem Fio Fantech Forma Confortável W188 1200DPI	Mouse Sem Fio Fantech Forma Confortável W188 1200DPI.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p236	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-172355737266bb65fc8b4a6.jpg	in stock	104.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p237	Fone de Ouvido Bluetooth Cores Sortidas	Fone de Ouvido Bluetooth Cores Sortidas.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p237	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770729908698b31b4653bf.webp	in stock	48.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p238	Mouse sem Fio Logitech M220 Silent Silencioso 1000 DPI	Mouse sem Fio Logitech M220 Silent Silencioso 1000 DPI.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p238	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177248616769a5fe1729e09.jpg	in stock	129.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p239	Mouse Para Jogos Profissional Fantech G13 Rhasta Ii 2400Dpi	Mouse Para Jogos Profissional Fantech G13 Rhasta Ii 2400Dpi.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p239	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1734331695675fcd2f0461a.jpg	in stock	85.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p240	Kit Teclado e Mouse Teclas Silenciosas Fantech KM-100	Kit Teclado e Mouse Teclas Silenciosas Fantech KM-100.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p240	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-172355694466bb6450b5141.jpg	in stock	131.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p241	Mouse Gamer Jogo Macro Crypto VX7 Fantech 8000DPI 6 Botões	Mouse Gamer Jogo Macro Crypto VX7 Fantech 8000DPI 6 Botões.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p241	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-172355695066bb6456b0705.jpg	in stock	160.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p242	Tabuleiro Alfabeto em Madeira e EVA — 26 Letras	Tabuleiro pedagógico com base e 26 letras móveis em madeira e EVA, para montar palavras e treinar alfabetização de forma lúdica.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p242	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760844698baa8c13fc6.jpg	in stock	29.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p243	Kit Raquete de Ping-Pong 15x20cm	Kit de raquetes de ping-pong medindo 15x20cm, leve e fácil de manusear, ideal para brincar em casa ou levar na viagem.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p243	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-17700621736981015dbad31.png	in stock	21.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p244	Teste Token Educativo em Madeira	Jogo pedagógico em madeira usado em avaliação neurológica e treino de atenção, memória e compreensão de comandos.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p244	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760875698baaabd7c70.jpg	in stock	41.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p245	Tangram Educativo em Madeira	Quebra-cabeça chinês clássico em madeira: sete peças geométricas para montar centenas de figuras e treinar raciocínio espacial.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p245	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760871698baaa72d75d.jpg	in stock	19.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p246	Pinos de Encaixe Educativo em Madeira	Brinquedo pedagógico de encaixe em madeira, trabalha coordenação motora fina, cores e noção de forma.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p246	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760839698baa87a393a.jpg	in stock	49.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p247	Encaixe Se For Capaz — Desafio Educativo em Madeira	Desafio de encaixe em madeira que estimula lógica, paciência e coordenação motora. Simples de entender, difícil de largar.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p247	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760808698baa68dc126.jpg	in stock	15.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p248	Torre de Hanói em Madeira e EVA	Clássico jogo de raciocínio lógico em madeira e EVA: mova os discos de haste em haste sem colocar um maior sobre um menor.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p248	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760880698baab03f84f.jpg	in stock	23.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p249	Kit 3 Tabuleiros — Alfabeto, Numerais e Vogais	Trio de tabuleiros pedagógicos em madeira e EVA (alfabeto, numerais e vogais) para acompanhar toda a fase de alfabetização.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p249	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760826698baa7a73fe6.jpg	in stock	68.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p250	Formas Geométricas Educativo em Madeira e EVA	Tabuleiro de formas geométricas em madeira e EVA: encaixe as peças, aprenda os nomes das formas e treine coordenação.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p250	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770760813698baa6d836e3.jpg	in stock	41.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p251	Painel Psicomotor Educativo em MDF (Labirinto)	Painel de labirinto em MDF para treinar coordenação motora, concentração e traçado — brinquedo de mesa que não faz bagunça.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p251	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177642835969e22547926f1.jpg	in stock	32.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p252	Cubo Kohs — Teste de Raciocínio Lógico 9 Peças	Nove cubos coloridos em caixa de madeira para reproduzir padrões. Usado em avaliação de raciocínio lógico e ótimo como jogo.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p252	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177642838769e225630f9be.png	in stock	38.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p253	Geoplano Matemático com Elásticos	Placa de pinos com elásticos coloridos para formar figuras geométricas — material pedagógico clássico de matemática.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p253	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-177642837469e22556ab323.png	in stock	32.90 BRL	new	Achadinhos Brasil	no	Infantil e Brinquedos
p254	Mouse Pad Gamer Grande Fantech Sven MP44 — 44x35cm	Mouse pad gamer de 44x35cm com base antiderrapante e superfície lisa, espaço de sobra para mouse e teclado.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p254	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-172355886666bb6bd266657.jpg	in stock	85.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
p255	Mini Caixa de Som USB 6x7cm	Caixinha de som compacta de 6x7cm com conexão USB, em cores sortidas. Cabe na mesa e vai junto no notebook.	https://www.lojaachadinhosbrasil.com.br/produto.html?id=p255	https://empreender.nyc3.digitaloceanspaces.com/dropi/fornecedor/produto-1770729922698b31c24fd43.webp	in stock	57.90 BRL	new	Achadinhos Brasil	no	Eletrônicos
